what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282662915
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282671873
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274282672059
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274282672116
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282679769
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282688658
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274282690562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282694359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282717893
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282721987
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282734592
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274282734775
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274282734845
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274282736385
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282740563
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282757813
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282763619
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282766668
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1274282766714
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282781089
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282856109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282863300
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274282864338
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282864441
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1274282864481
error,log,,,"Could not decorate element.",1274282864655
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282868990
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282873964
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274282874112
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274282874169
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274282877455
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282882054
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274282895329
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274282895492
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274282895550
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274283076332
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274283102882
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274283106657
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274283108298
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274283119364
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274283407905
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274283411911
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274283411911
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274283413963
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274283413963
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274283415001
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274283415001
